name,tuition,rank,acceptance,website,location
Georgia Southern University,"$19,022 (out-of-state), $6,890 (in-state)",243,65%,http://www.georgiasouthern.edu,"Statesboro, GA"
Grand Canyon University,"$17,050",244,57%,http://www.gcu.edu,"Phoenix, AZ"
Indiana State University,"$19,836 (out-of-state), $9,090 (in-state)",245,86%,http://www.indstate.edu,"Terre Haute, IN"
Indiana University of Pennsylvania,"$17,299 (out-of-state), $12,979 (in-state)",246,92%,http://www.iup.edu,"Indiana, PA"
Jackson State University,"$7,621 (out-of-state), $7,621 (in-state)",247,63%,http://www.jsums.edu,"Jackson, MS"
Kennesaw State University,"$21,158 (out-of-state), $7,432 (in-state)",248,59%,http://www.kennesaw.edu,"Kennesaw, GA"
Lamar University,"$22,642 (out-of-state), $10,192 (in-state)",249,76%,http://lamar.edu,"Beaumont, TX"
Liberty University,"$25,276",250,24%,http://www.liberty.edu,"Lynchburg, VA"
Lindenwood University,"$17,600",251,55%,http://www.lindenwood.edu,"St. Charles, MO"
Louisiana Tech University,"$18,558 (out-of-state), $9,645 (in-state)",252,63%,http://www.latech.edu,"Ruston, LA"
Middle Tennessee State University,"$28,364 (out-of-state), $9,216 (in-state)",253,69%,http://www.mtsu.edu,"Murfreesboro, TN"
Morgan State University,"$18,167 (out-of-state), $7,900 (in-state)",254,60%,http://www.morgan.edu,"Baltimore, MD"
National Louis University,"$10,440",255,76%,https://www.nl.edu/academics/harrisonprofessionalpathwaysprogram/,"Chicago, IL"
North Carolina A&T State University,"$19,822 (out-of-state), $6,612 (in-state)",256,54%,http://www.ncat.edu,"Greensboro, NC"
Northern Arizona University,"$25,828 (out-of-state), $11,564 (in-state)",257,78%,https://nau.edu/,"Flagstaff, AZ"
Northern Illinois University,"$14,750 (out-of-state), $14,750 (in-state)",258,52%,http://www.niu.edu,"DeKalb, IL"
Oakland University,"$23,873 (out-of-state), $12,893 (in-state)",259,86%,http://oakland.edu,"Rochester, MI"
Portland State University,"$27,060 (out-of-state), $9,105 (in-state)",260,89%,http://www.pdx.edu,"Portland, OR"
Prairie View A&M University,"$24,843 (out-of-state), $10,533 (in-state)",261,85%,http://www.pvamu.edu,"Prairie View, TX"
Sam Houston State University,"$22,633 (out-of-state), $10,183 (in-state)",262,72%,http://www.shsu.edu/,"Huntsville, TX"
San Francisco State University,"$19,140 (out-of-state), $7,260 (in-state)",263,68%,http://www.sfsu.edu,"San Francisco, CA"
Spalding University,"$24,000",264,50%,http://www.spalding.edu,"Louisville, KY"
Tennessee State University,"$20,178 (out-of-state), $7,458 (in-state)",265,100%,http://www.tnstate.edu,"Nashville, TN"
